shelter,X,Y
서울금나래초등학교,126.896257,37.4581207
한울중학교,126.907204,37.4622386
안천중학교,126.887711,37.459185
시흥중학교,126.905417,37.4457937
세일중학교,126.895601,37.4746266
문일중학교,126.898292,37.4494008
문성중학교,126.908194,37.4755562
동일중학교,126.916338,37.4512622
난곡중학교,126.911221,37.4775588
가산중학교,126.894412,37.4684446
서울탑동초등학교,126.914449,37.4526574
서울정심초등학교,126.908447,37.4715289
서울영남초등학교,126.909663,37.4756745
서울안천초등학교,126.888492,37.4581676
서울신흥초등학교,126.908835,37.4594197
서울시흥초등학교,126.904852,37.4547853
서울백산초등학교,126.904986,37.4469917
서울문성초등학교,126.899332,37.4745758
서울문백초등학교,126.89929,37.447068
서울문교초등학교,126.90868,37.4664024
서울두산초등학교,126.890988,37.467144
서울독산초등학교,126.900045,37.465224
서울금천초등학교,126.912559,37.4549986
서울금산초등학교,126.908179,37.4416333
서울금동초등학교,126.916399,37.4475141
서울가산초등학교,126.896422,37.477952
동광초등학교,126.916338,37.4512622
서울매그넷고등학교,126.916338,37.4512622
금천문화예술정보학교,126.906889,37.478979
독산고등학교,126.910522,37.4758824
문일고등학교,126.898292,37.4494008
동일여자고등학교,126.916338,37.4512622
금천고등학교,126.905757,37.4447579
국립전통예술중학교,126.906682,37.4459119
